dataset,split,method,metric,mean,std
fried,test,BetaShapley,mse,2.7163544194558673,0.2679630940196436
fried,test,Bipartite,mae,0.124394,0.016477446276334025
fried,test,Bipartite,mse,0.025687439999999985,0.0052508839867708304
fried,test,Linear,mae,0.2605832101402621,0.01570669802030637
fried,test,Linear,mse,0.09224249830550536,0.009664828512150085
fried,test,MLP,mae,0.3111539303233835,0.01936742197381204
fried,test,MLP,mse,0.12750532410737178,0.013964971489328985
fried,test,Shapley,mae,1.298453096860359,0.06603377053689169
fried,test,Shapley,mse,2.8381524872221933,0.278728445034894
fried,train,Banzhaf,mae,0.3082002365256082,0.019534424902805866
fried,train,Banzhaf,mse,0.12479254537739456,0.013925313049012504
